,id,nummer,konklusion,vedtaget,kommentar,mødeid,typeid,sagstrinid,opdateringsdato,møde_titel,møde_status,møde_type,møde_periode_startdato,møde_periode_slutdato,møde_periode_type,type,sagstrin_titel,sagstrin_status,sagstrin_type,sagstrin_sag_type,sagstrin_sag_kategori,sagstrin_sag_status,sagstrin_sag_titel,sagstrin_sag_titelkort,sagstrin_periode_start,sagstrin_periode_slut,sagstrin_periode_type,merged,year
0,1,411,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",True,,17,2,,2014-09-09T09:05:59.653,Møde i salen,Afholdt,Møde i salen,2013-10-01T12:00:00,2014-10-01T12:00:00,samling,Udvalgsindstilling,,,,,,,nan,nan,2021-10-05T12:00:00,2022-10-04T12:00:00,samling,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

,nan,nan",2021
6637,6701,2,"Vedtaget. 57 stemmer for forslaget (DF, V, LA og KF).

52 stemmer imod forslaget (S, EL, ALT, RV og SF).

0 stemmer hverken for eller imod forslaget.",True,,8863,3,195818.0,2018-10-05T13:00:21.31,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Det går økonomisk bedre end længe. Siden 2015 er der truffet mange beslutninger, som trækker Danmark i den rigtige retning. Flere er i privat beskæftigelse, og færre er på passiv offentlig forsørgelse. Der er positiv udvikling i alle landsdele, men der skal fortsat tages initiativer for at sikre et Danmark i bedre balance. 

Vi er optaget af at sikre et bedre klima og miljø for de kommende generationer. 

Der er gennemført helt nødvendige stramninger af udlændingepolitikken. Retningen skal fastholdes, så asyltallet fortsat holdes på et meget lavt niveau. Samtidig skal praksis ændres, så midlertidigt ophold også reelt bliver midlertidigt. Det er sund fornuft. Folketinget ser frem til, at der i efteråret laves aftaler, der sikrer dette. 

Den positive udvikling betyder, at velfærden kan løftes. Og det nære sundhedsvæsen skal nu styrkes gennem en sundhedsreform, som skaber mere nærhed, tryghed og sammenhæng for patienterne i fremtiden.",Om statsministerens åbningsredegørelse.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Vedtaget. 57 stemmer for forslaget (DF, V, LA og KF).

52 stemmer imod forslaget (S, EL, ALT, RV og SF).

0 stemmer hverken for eller imod forslaget.,Det går økonomisk bedre end længe. Siden 2015 er der truffet mange beslutninger, som trækker Danmark i den rigtige retning. Flere er i privat beskæftigelse, og færre er på passiv offentlig forsørgelse. Der er positiv udvikling i alle landsdele, men der skal fortsat tages initiativer for at sikre et Danmark i bedre balance. 

Vi er optaget af at sikre et bedre klima og miljø for de kommende generationer. 

Der er gennemført helt nødvendige stramninger af udlændingepolitikken. Retningen skal fastholdes, så asyltallet fortsat holdes på et meget lavt niveau. Samtidig skal praksis ændres, så midlertidigt ophold også reelt bliver midlertidigt. Det er sund fornuft. Folketinget ser frem til, at der i efteråret laves aftaler, der sikrer dette. 

Den positive udvikling betyder, at velfærden kan løftes. Og det nære sundhedsvæsen skal nu styrkes gennem en sundhedsreform, som skaber mere nærhed, tryghed og sammenhæng for patienterne i fremtiden.,Om statsministerens åbningsredegørelse.",2018
6638,6703,4,"Forslaget blev vedtaget. For stemte 58 (S, V, LA og KF), imod stemte 45 (DF, EL, ALT, RV og SF), hverken for eller imod stemte 0.",True,,8876,3,196803.0,2018-11-09T09:45:15.667,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Folketinget noterer sig, at forligskredsen som aftalt har gennemført en evaluering af offentlighedsloven. Folketinget noterer sig endvidere, at der i forligskredsen har været politiske drøftelser med henblik på en lempelse af ministerbetjeningsreglen. Justitsministeren har oplyst Folketinget om, at det ikke har været muligt at opnå enighed i forligskredsen om at ændre offentlighedsloven. Endelig noterer Folketinget sig, at det fremgår af den politiske aftale, at en ændring af offentlighedsloven kun kan ske, hvis der mellem aftaleparterne er enighed herom.",Om status for den nye offentlighedslov.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 58 (S, V, LA og KF), imod stemte 45 (DF, EL, ALT, RV og SF), hverken for eller imod stemte 0.,Folketinget noterer sig, at forligskredsen som aftalt har gennemført en evaluering af offentlighedsloven. Folketinget noterer sig endvidere, at der i forligskredsen har været politiske drøftelser med henblik på en lempelse af ministerbetjeningsreglen. Justitsministeren har oplyst Folketinget om, at det ikke har været muligt at opnå enighed i forligskredsen om at ændre offentlighedsloven. Endelig noterer Folketinget sig, at det fremgår af den politiske aftale, at en ændring af offentlighedsloven kun kan ske, hvis der mellem aftaleparterne er enighed herom.,Om status for den nye offentlighedslov.",2018
6639,6704,5,"Forslaget blev vedtaget. For stemte 104 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.",True,,8876,3,196826.0,2018-11-09T09:45:16.907,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"I EU-forhandlinger skal regeringen lægge afgørende vægt på danske løn- og arbejdsforhold i forbindelse med tredjelandskørsel til, samt cabotage- og kombitransporter i Danmark. Målet er styret, ikke fri bevægelighed!

Regeringen skal sikre:
•	Øget kontrol på veje, rastepladser i terminal- og havneområder.
•	Kontrol af ulovlige chaufførugehvil.
•	Håndhævelse af EU's eksisterende udstationeringsregler for chauffører.
",Om udenlandske chauffører i Europa.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 104 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.,I EU-forhandlinger skal regeringen lægge afgørende vægt på danske løn- og arbejdsforhold i forbindelse med tredjelandskørsel til, samt cabotage- og kombitransporter i Danmark. Målet er styret, ikke fri bevægelighed!

Regeringen skal sikre:
•	Øget kontrol på veje, rastepladser i terminal- og havneområder.
•	Kontrol af ulovlige chaufførugehvil.
•	Håndhævelse af EU's eksisterende udstationeringsregler for chauffører.
,Om udenlandske chauffører i Europa.",2018
6640,6705,6,"Forslaget blev vedtaget. For stemte 51 (DF, V, LA og KF), imod stemte 50 (S, EL, ALT, RV og SF), hverken for eller imod stemte 0.",True,,8878,3,196866.0,2018-11-14T09:45:16.33,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Folketinget konstaterer, at der i 2019 er afsat i alt 18,2 mia. kr. til ungdomsuddannelse, 15,7 mia. kr. til videregående uddannelse og 20,8 mia. kr. til SU. Folketinget noterer sig, at regeringen i forslag til finansloven for 2019 lægger op til, at de frigjorte midler fra omprioriteringsbidraget i 2022 fastholdes og tilbageføres til undervisnings-, uddannelses- og kulturområdet. Provenuet fra omprioriteringsbidraget har bidraget til at finansiere bl.a. styrkelsen af dansk politi og kræftplaner og muliggjort målrettede nye indsatser på uddannelsesområdet – herunder puljen til løft af fagligt svage elever. 

Folketinget noterer sig, at regeringen og Dansk Folkeparti er enige om, at der er behov for en ekstraordinær indsats for erhvervsuddannelserne. På den baggrund har regeringen og Dansk Folkeparti annulleret omprioriteringsbidraget på erhvervsuddannelserne fra 2019 og frem. Regeringen og Dansk Folkeparti er endvidere enige om at se på forholdene for mindre gymnasier i de tyndt befolkede områder.",Om konsekvenserne af omprioriteringsbidraget.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 51 (DF, V, LA og KF), imod stemte 50 (S, EL, ALT, RV og SF), hverken for eller imod stemte 0.,Folketinget konstaterer, at der i 2019 er afsat i alt 18,2 mia. kr. til ungdomsuddannelse, 15,7 mia. kr. til videregående uddannelse og 20,8 mia. kr. til SU. Folketinget noterer sig, at regeringen i forslag til finansloven for 2019 lægger op til, at de frigjorte midler fra omprioriteringsbidraget i 2022 fastholdes og tilbageføres til undervisnings-, uddannelses- og kulturområdet. Provenuet fra omprioriteringsbidraget har bidraget til at finansiere bl.a. styrkelsen af dansk politi og kræftplaner og muliggjort målrettede nye indsatser på uddannelsesområdet – herunder puljen til løft af fagligt svage elever. 

Folketinget noterer sig, at regeringen og Dansk Folkeparti er enige om, at der er behov for en ekstraordinær indsats for erhvervsuddannelserne. På den baggrund har regeringen og Dansk Folkeparti annulleret omprioriteringsbidraget på erhvervsuddannelserne fra 2019 og frem. Regeringen og Dansk Folkeparti er endvidere enige om at se på forholdene for mindre gymnasier i de tyndt befolkede områder.,Om konsekvenserne af omprioriteringsbidraget.",2018
6641,6706,7,"Forslaget blev vedtaget. For stemte 55 (DF, V, LA, RV og KF), imod stemte 46 (S, EL, ALT og SF), hverken for eller imod stemte 0.",True,,8878,3,196926.0,2018-11-14T09:45:17.877,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Der henvises til den politiske enighed om V 105, der blev vedtaget ved forespørgsel F 46 den 16. maj 2017, som henviser til den politiske enighed om V 70, der blev vedtaget ved forespørgsel F 36 den 18. april 2017. 

Som tilføjelse hertil konstaterer Folketinget, 
- at regeringens nedsatte Ekspertudvalg om arbejdsmiljø i september afgav sine anbefalinger, som regeringen vil indkalde til politiske forhandlinger om, 
- at regeringen og Dansk Folkeparti har nedsat en seniortænketank for et godt arbejdsliv, der skal bidrage til bedre kvalitet i seniorarbejdslivet, og 
- at nye efterløns- og folkepensionsaldre skal besluttes af Folketinget hvert 5. år, som følge af levetidsindekseringen.

Folketinget opfordrer regeringen til 
- at skabe ro og tryghed om danskernes pensionsalder i overensstemmelse med intentionerne i Velfærdsaftalen og 
- at styrke muligheden for dem, der er nedslidte, til at trække sig tilbage fra arbejdsmarkedet.",Om de forligsmæssige bindinger vedrørende forhøjelser af pensionsalderen.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 55 (DF, V, LA, RV og KF), imod stemte 46 (S, EL, ALT og SF), hverken for eller imod stemte 0.,Der henvises til den politiske enighed om V 105, der blev vedtaget ved forespørgsel F 46 den 16. maj 2017, som henviser til den politiske enighed om V 70, der blev vedtaget ved forespørgsel F 36 den 18. april 2017. 

Som tilføjelse hertil konstaterer Folketinget, 
- at regeringens nedsatte Ekspertudvalg om arbejdsmiljø i september afgav sine anbefalinger, som regeringen vil indkalde til politiske forhandlinger om, 
- at regeringen og Dansk Folkeparti har nedsat en seniortænketank for et godt arbejdsliv, der skal bidrage til bedre kvalitet i seniorarbejdslivet, og 
- at nye efterløns- og folkepensionsaldre skal besluttes af Folketinget hvert 5. år, som følge af levetidsindekseringen.

Folketinget opfordrer regeringen til 
- at skabe ro og tryghed om danskernes pensionsalder i overensstemmelse med intentionerne i Velfærdsaftalen og 
- at styrke muligheden for dem, der er nedslidte, til at trække sig tilbage fra arbejdsmarkedet.,Om de forligsmæssige bindinger vedrørende forhøjelser af pensionsalderen.",2018
6642,6707,8,"Forslaget blev vedtaget. For stemte 63 (S, V, LA, RV og KF), imod stemte 36 (DF, EL og ALT), hverken for eller imod stemte 4 (SF).",True,,8878,3,196934.0,2018-11-14T09:45:19.043,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Folketinget noterer sig, at den samlede evaluering af reformen af førtidspension og fleksjob generelt tegner et positivt billede af reformens virke, men også peger på en række udfordringer. 
 
Folketinget følger området tæt og bemærker, at et enigt Folketing i sidste samling vedtog en lovændring, der præciserede snitfladen mellem ressourceforløb og førtidspension. Lovændringen gjorde det klart, at et ressourceforløb alene er relevant, når der er en realistisk forventning om, at borgeren kan drage nytte af indsatsen. 

Folketinget konstaterer, at forligskredsen bag reformen af førtidspension og fleksjob har indledt drøftelser om evalueringen af reformen for at adressere de udfordringer, som evalueringen peger på.",Om evalueringen af reformen af førtidspension og fleksjob.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 63 (S, V, LA, RV og KF), imod stemte 36 (DF, EL og ALT), hverken for eller imod stemte 4 (SF).,Folketinget noterer sig, at den samlede evaluering af reformen af førtidspension og fleksjob generelt tegner et positivt billede af reformens virke, men også peger på en række udfordringer. 
 
Folketinget følger området tæt og bemærker, at et enigt Folketing i sidste samling vedtog en lovændring, der præciserede snitfladen mellem ressourceforløb og førtidspension. Lovændringen gjorde det klart, at et ressourceforløb alene er relevant, når der er en realistisk forventning om, at borgeren kan drage nytte af indsatsen. 

Folketinget konstaterer, at forligskredsen bag reformen af førtidspension og fleksjob har indledt drøftelser om evalueringen af reformen for at adressere de udfordringer, som evalueringen peger på.,Om evalueringen af reformen af førtidspension og fleksjob.",2018
6643,6708,9,"Forslaget blev vedtaget. For stemte 53 (DF, V, LA og KF), imod stemte 50 (S, EL, ALT, RV og SF), hverken for eller imod stemte 0.",True,,8878,3,196841.0,2018-11-14T09:45:20.47,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Forslag til vedtagelse,Behandling,Behandlet,[10 'Behandling' '2014-10-07T14:16:46.733'],Forslag til vedtagelse,,Vedtaget,"Folketinget konstaterer, at der i 2019 er afsat i alt 8,3 mia. kr. til kulturområdet. Folketinget noterer sig, at regeringen på forslag til finansloven for 2019 lægger op til, at de frigjorte midler fra omprioriteringsbidraget i 2022 tilbageføres til undervisnings-, uddannelses- og kulturområdet. Folketinget noterer sig endelig, at statens bidrag kun udgør en andel af den samlede kulturøkonomi.",Om konsekvenserne af omprioriteringsbidraget.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 53 (DF, V, LA og KF), imod stemte 50 (S, EL, ALT, RV og SF), hverken for eller imod stemte 0.,Folketinget konstaterer, at der i 2019 er afsat i alt 8,3 mia. kr. til kulturområdet. Folketinget noterer sig, at regeringen på forslag til finansloven for 2019 lægger op til, at de frigjorte midler fra omprioriteringsbidraget i 2022 tilbageføres til undervisnings-, uddannelses- og kulturområdet. Folketinget noterer sig endelig, at statens bidrag kun udgør en andel af den samlede kulturøkonomi.,Om konsekvenserne af omprioriteringsbidraget.",2018
6644,6709,10,"Forslaget blev vedtaget. For stemte 108 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.",True,,8880,1,195187.0,2018-11-15T10:04:40.257,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Endelig vedtagelse,3. behandling,Behandlet/Vedtaget,[17 '3. behandling' '2015-04-17T11:36:50.753'],Lovforslag,[13 'Regeringsforslag' '2015-05-27T13:49:30.737'],Stadfæstet,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Armenien.,Om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Armenien.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 108 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Armenien.,Om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Armenien.",2018
6645,6710,11,"Forslaget blev vedtaget. For stemte 108 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.",True,,8880,1,195213.0,2018-11-15T10:05:21.53,Møde i salen,Under forberedelse,Møde i salen,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,Endelig vedtagelse,3. behandling,Behandlet/Vedtaget,[17 '3. behandling' '2015-04-17T11:36:50.753'],Lovforslag,[13 'Regeringsforslag' '2015-05-27T13:49:30.737'],Stadfæstet,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Japan.,Om  indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Japan.,2018-10-02T12:00:00,2019-06-05T12:00:00,samling,"Forslaget blev vedtaget. For stemte 108 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Japan.,Om  indgåelse af dobbeltbeskatningsoverenskomst og tilhørende protokol mellem Danmark og Japan.",2018
